icao24,firstSeen,estDepartureAirport,lastSeen,estArrivalAirport,callsign,estDepartureAirportHorizDistance,estDepartureAirportVertDistance,estArrivalAirportHorizDistance,estArrivalAirportVertDistance,departureAirportCandidatesCount,arrivalAirportCandidatesCount
e48f6a,1753555883,SBGL,1753558345,SBGR,TAM4723 ,2553.0,6.0,7785,263,1,2
e4819c,1753551210,,1753558210,SBGR,TAM8020 ,,,8137,286,0,2
e482c5,1753547160,,1753558090,SBGR,TAM3439 ,,,7859,271,0,2
e482c6,1753556680,,1753558009,SBGR,TAM3377 ,,,7583,256,0,2
e48f02,1753556348,,1753557858,SBGR,GLO1809 ,,,9191,347,0,2
e480fa,1753554333,SSKT,1753557604,SBGR,TAM3303 ,5825.0,710.0,7902,271,1,2
e49475,1753545902,,1753557492,SBGR,GLO1581 ,,,8400,302,0,2
e48043,1753555176,,1753557387,SBGR,TAM4667 ,,,8120,294,0,2
e4988f,1753555903,,1753557113,SBGR,GLO1517 ,,,7904,279,0,2
e48b66,1753552312,SBVT,1753557026,SBGR,TAM4725 ,1010.0,3.0,7849,271,0,2
040033,1753474193,ESSA,1753556846,SBGR,ETH715  ,830.0,34.0,8184,294,0,2
e48c4c,1753553807,,1753556699,SBGR,TAM3543 ,,,7711,263,0,2
00b1fb,1753525831,FACT,1753556573,SBGR,SAA226  ,243.0,175.0,8389,302,1,2
e4a12c,1753554677,,1753556471,SBGR,TAM3879 ,,,8714,332,0,2
e48986,1753548766,SABE,1753556308,SBGR,GLO7665 ,14.0,58.0,8055,286,0,2
e491a2,1753548094,,1753556202,SBGR,TAM4575 ,,,7971,271,0,2
e4bc02,1753554192,,1753556106,SBGR,TAM3421 ,,,7849,286,0,2
e4988b,1753554612,,1753556006,SBGR,GLO9057 ,,,7985,286,0,2
e49522,1753543965,SBFZ,1753555872,SBGR,GLO1527 ,902.0,2.0,9170,347,1,2
4b191a,1753548411,SAEZ,1753555753,SBGR,SWR93   ,1244.0,5.0,7784,271,2,2
e49a48,1753553246,SBCT,1753555642,SBGR,GLO1165 ,8367.0,697.0,7974,279,3,2
e495d0,1753554005,,1753555526,SBGR,AZU2768 ,,,8184,294,0,2
e47f50,1753543141,SBFZ,1753555260,SBGR,GLO9618 ,842.0,2.0,8408,309,1,2
e49c01,1753545223,,1753555082,SBGR,TAM8040 ,,,7909,286,0,2
e4a130,1753543958,,1753554968,SBGR,TAM3531 ,,,7802,279,0,2
e49c03,1753544626,,1753554844,SBGR,TAM3231 ,,,7785,279,0,2
e48b65,1753553331,,1753554613,SBGR,TAM3859 ,,,7765,271,0,2
e4924a,1753533404,SBBR,1753554295,SBGR,TAM3760 ,2591.0,46.0,7578,248,1,2
e48de7,1753513298,LFMN,1753554119,SBGR,PPGUL   ,1090.0,19.0,8052,286,0,2
e49763,1753551192,SBGL,1753553995,SBGR,TAM4673 ,2353.0,16.0,8538,317,1,2
e49ed4,1753552540,,1753553908,SBGR,TAM4727 ,,,8228,302,0,2
e49697,1753545875,SABE,1753553787,SBGR,TAM8033 ,532.0,51.0,9398,363,0,2
e4894f,1753551165,,1753553722,SBGR,TAM3975 ,,,7931,279,0,2
e49aa8,1753541498,SBFZ,1753553524,SBGR,TAM4679 ,922.0,2.0,8012,286,1,2
e49247,1753551852,,1753553319,SBGR,TAM4717 ,,,9232,340,0,2
e480a2,1753548168,,1753553232,SBGR,LAP1305 ,,,9312,363,0,2
e495b2,1753551604,,1753553069,SBGR,AZU2481 ,,,7800,279,0,2
e481d8,1753550641,,1753552829,SBGR,GLO1247 ,,,8065,286,0,2
e4999f,1753526743,,1753552639,SBGR,TAM4743 ,,,8099,294,0,2
0ac9ef,1753533797,SKBO,1753552453,SBGR,AVA185  ,986.0,26.0,7465,256,1,2
e80418,1753545933,,1753552126,SBGR,LAN406  ,,,7886,279,0,2
e4a12b,1753550186,,1753552024,SBGR,TAM4609 ,,,9401,363,0,2
e48fb4,1753546632,,1753551201,SBGR,GLO1533 ,,,8044,286,0,2
e4950d,1753532911,SBGL,1753550721,SBGR,GLO9010 ,2395.0,69.0,7816,271,1,2
e485b0,1753547770,,1753549908,SBGR,TAM3419 ,,,7725,263,0,2
e490f1,1753547355,,1753549736,SBGR,TAM3639 ,,,9394,347,0,2
e49c06,1753545060,SBBR,1753549644,SBGR,TAM3264 ,2422.0,138.0,7816,279,1,2
e49bfc,1753546299,SSKT,1753549497,SBGR,TAM4671 ,6169.0,717.0,7879,286,1,2
e4997c,1753541957,SABE,1753549288,SBGR,TAM8139 ,659.0,66.0,8084,294,0,2
e48e55,1753539120,SBIZ,1753549154,SBGR,TAM3589 ,141.0,9.0,7882,271,2,2
e0340c,1753542762,,1753549028,SBGR,LVCPL   ,,,7797,286,0,2
e486c1,1753547580,,1753548806,SBGR,TAM3449 ,,,7925,271,0,2
e071d1,1753541074,SABE,1753548621,SBGR,ARG1244 ,544.0,74.0,7874,271,0,2
e48dc5,1753545735,,1753548431,SBGR,TAM4765 ,,,8066,271,0,2
e49a55,1753529166,SBGR,1753548176,SBGR,AZU4769 ,8513.0,591.0,7492,256,0,2
e48e88,1753537381,SBBR,1753548048,SBGR,AZU4236 ,1887.0,23.0,7897,279,1,2
e49aaa,1753545681,,1753547727,SBGR,TAM3839 ,,,8007,279,0,2
e4a202,1753546354,,1753547543,SBGR,GLO9611 ,,,8385,302,0,2
e48ce7,1753544657,,1753547115,SBGR,TAM3393 ,,,8192,294,0,2
e49ef3,1753541234,,1753546850,SBGR,GLO1603 ,,,8713,309,0,2
e48b64,1753545031,,1753546589,SBGR,TAM3223 ,,,9207,340,0,2
e49dde,1753542706,SSKT,1753546399,SBGR,TAM4715 ,6173.0,641.0,7475,248,1,2
e49aa9,1753544444,,1753546289,SBGR,TAM3309 ,,,9130,332,0,2
e80449,1753540959,,1753546206,SBGR,LAN762  ,,,8166,271,0,2
e4808c,1753539064,,1753546107,SBGR,TAM3389 ,,,8166,294,0,2
e495c6,1753543533,,1753546026,SBGR,GLO1969 ,,,7799,263,0,2
e4a125,1753543201,SBCT,1753545929,SBGR,TAM3287 ,8781.0,719.0,7879,271,3,2
e49b52,1753541254,SBBR,1753545779,SBGR,GLO1401 ,2426.0,92.0,9120,332,1,2
e491a1,1753540840,SBVT,1753545581,SBGR,TAM3994 ,937.0,26.0,8277,279,0,2
e49c59,1753542930,,1753545195,SBGR,TAM3025 ,,,7995,279,0,2
e491b1,1753532444,SBBR,1753545083,SBGR,TAM3129 ,1203.0,60.0,8294,279,1,2
e497e6,1753532402,SBGR,1753544807,SBGR,GLO1171 ,6449.0,385.0,7633,256,0,2
e48043,1753542090,SBGL,1753544698,SBGR,TAM3699 ,2357.0,6.0,8703,317,1,2
e49bae,1753529313,,1753544616,SBGR,PSVDA   ,,,7807,279,0,2
e47f51,1753532505,SBFZ,1753544510,SBGR,GLO9097 ,777.0,17.0,7874,263,1,2
e48b00,1753541659,,1753544380,SBGR,GLO2131 ,,,9215,332,0,2
e49266,1753539815,SBVT,1753544208,SBGR,GLO1637 ,1060.0,41.0,9472,355,0,2
e49050,1753541163,SBCT,1753544067,SBGR,AZU2818 ,8949.0,628.0,7857,271,3,2
e4805d,1753538075,,1753543946,SBGR,TAM3073 ,,,8256,286,0,2
e48f6a,1753532648,SBBR,1753543558,SBGR,TAM4607 ,1867.0,99.0,7910,248,1,2
e49890,1753524547,SBBR,1753543307,SBGR,GLO1778 ,675.0,75.0,8114,279,1,2
e4925f,1753541311,,1753543138,SBGR,TAM3417 ,,,8144,263,0,2
e48f12,1753541413,,1753542987,SBGR,TAM3653 ,,,9438,347,0,2
e49baf,1753540214,SBGL,1753542898,SBGR,GLO1927 ,2558.0,61.0,8288,286,1,2
e49ef0,1753539720,SSKT,1753542788,SBGR,GLO1277 ,5706.0,633.0,8028,271,1,2
e49a8a,1753540063,SBRJ,1753542585,SBGR,AZU4741 ,3856.0,537.0,9483,347,1,2
e480fa,1753540301,SBCT,1753542446,SBGR,TAM3289 ,7391.0,537.0,8463,286,3,2
e49512,1753540485,,1753541665,SBGR,AZU4674 ,,,8465,294,0,2
e4894f,1753537170,,1753541546,SBGR,TAM3255 ,,,9340,340,0,2
e48fcf,1753540009,,1753541355,SBGR,TAM4605 ,,,7844,241,0,2
e49a48,1753533543,SABE,1753540887,SBGR,GLO7681 ,811.0,58.0,7849,256,0,2
e48135,1753536060,SBBR,1753540719,SBGR,TAM4677 ,1414.0,14.0,7812,248,1,2
e49bfe,1753537513,SBGL,1753540240,SBGR,TAM3367 ,2141.0,54.0,7789,256,1,2
e4904d,1753539572,SBMT,1753540180,SBGR,PRNPB   ,11509.0,131.0,19561,500,1,2
e490ef,1753538465,,1753540105,SBGR,TAM3201 ,,,9243,332,0,2
e485af,1753535252,SBVT,1753539858,SBGR,TAM3331 ,1392.0,57.0,7832,241,0,2
e48b66,1753527702,SBGR,1753539541,SBGR,TAM3534 ,13795.0,987.0,8316,279,0,2
e49763,1753537146,,1753539282,SBGR,TAM3607 ,,,9416,340,0,2
e48c4c,1753537021,,1753539161,SBGR,TAM4661 ,,,7997,248,0,2
e48fcb,1753536671,,1753538948,SBGR,TAM3373 ,,,7995,248,0,2
e48be3,1753536781,,1753538746,SBGR,TAM3279 ,,,7902,248,0,2
e48395,1753537003,,1753538635,SBGR,GLO1149 ,,,7789,248,0,2
e49c02,1753535343,SBFL,1753538470,SBGR,TAM3301 ,6793.0,665.0,8148,271,1,2
e4a12c,1753535755,,1753538290,SBGR,TAM4775 ,,,8373,286,0,2
e4a12a,1753535947,,1753538046,SBGR,TAM4729 ,,,7891,256,0,2
a0a545,1753503739,KORD,1753537870,SBGR,UAL845  ,1063.0,37.0,8736,302,0,2
a8afec,1753504486,KIAD,1753537546,SBGR,UAL861  ,1295.0,26.0,9004,324,2,2
e4a12b,1753535537,,1753537309,SBGR,TAM3285 ,,,7839,256,0,2
e48b65,1753535648,,1753537002,SBGR,TAM4773 ,,,8210,271,0,2
06a383,1753434324,RJAA,1753536539,SBGR,QTR809  ,2297.0,117.0,8265,271,0,2
e49ddb,1753532955,,1753536369,SBGR,PSOES   ,,,7580,332,0,2
e495b2,1753519656,SBGR,1753536220,SBGR,AZU2828 ,10984.0,949.0,7694,248,0,2
